"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
" gamma-Linolenic acid",5.0882e-05,-0.00017133,-0.000152,0.00096778,0.0019707,0.00076938,0.0025346,-0.002232,-0.0013523,0.00014192
" Butyric Acid",-0.0014881,0.0017495,-0.0021542,0.0073134,0.033201,0.011521,-0.023291,0.0058075,0.024836,-0.0088307
" Chenodiol",-0.0029634,-0.010807,0.012152,-0.029691,0.026605,0.085076,0.038321,-0.069876,-0.24162,0.00031231
" Isopropyl Alcohol",-0.010689,-0.029527,0.13421,0.096896,-0.02127,-0.14839,0.26874,0.33635,-0.11191,0.014946
" Glutamic Acid",-0.00021155,0.00054564,0.00026807,-0.00074235,-0.00030833,-0.0078229,0.0086281,0.01149,-0.00044667,0.0010927
" Adenine",-0.00072395,-0.0022932,0.00065164,-0.0093844,0.0098204,0.0053945,0.012797,-0.01829,-0.060521,0.0030665
" 4-Guanidinobutyric acid",-0.00047531,-0.0018592,0.0016799,-0.0085242,0.0089474,0.00048589,0.015058,-0.011476,-0.047337,0.0035846
" Thiamine",-1.5116e-05,-0.00026421,0.00086009,-0.00030864,-0.000805,-0.00073521,-0.0010888,-0.0059114,0.003619,-0.00019355
" 2-Aminoethyl dihydrogen phosphate",0.00084304,0.0039808,-0.012568,0.030441,-0.014376,0.027764,-0.0053871,0.033626,0.0028628,-0.016116
" Raffinose",-0.00062919,-0.0012849,0.0034111,-0.003552,0.0033497,-0.0032123,0.01397,-0.023645,0.035205,0.0035683
" 1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine",-0.0015324,-0.0036168,0.011614,-0.013589,-0.011868,-0.036243,-0.056882,-0.062175,0.031959,-0.0024126
" Leucine",0.0025429,-0.0031926,0.009029,-0.014933,0.036725,-0.0019005,0.034918,0.015286,0.033947,-0.00024013
" Lauric Acid",-0.0035052,-0.00062234,-0.015734,-0.016459,-0.031743,0.0014927,-0.028492,-0.03143,0.056574,0.0053397
" Stearic Acid",0.004971,-0.0011308,0.012265,0.032908,-0.0038155,0.010045,-0.0019522,0.0087878,-0.0033501,-0.0046745
" Taurocholic acid",-0.00029106,0.00043093,0.00051764,0.001422,-0.0025737,-0.00032393,0.00011073,-0.0007917,-0.00089624,0.00025184
" Myristic Acid",-0.0084016,-0.0014488,0.014204,-0.0081743,-0.062445,-0.13712,-0.30982,-0.098284,-0.021739,0.0053104
" Benzoic Acid",-0.0025016,-0.0042614,-0.010157,-0.020479,0.01078,0.019204,0.0071539,0.023075,0.024863,-0.0015555
" 3-Methyl-L-histidine",-0.00080879,-0.0020332,-0.014193,-0.002607,-0.0086021,0.014379,-0.0047355,0.01334,0.010214,-0.0028335
" Adenosine",-0.0011227,-0.0035148,0.0064575,-0.022155,0.0067205,0.019857,0.022541,0.014182,-0.0075565,0.0049334
" Codeine",-0.0013949,0.0029931,0.0002924,-0.017592,-0.014364,0.033972,-0.02339,0.0331,0.010723,-0.00058273
" N-acetylputrescine",-0.0025334,-0.024271,0.13568,0.2776,-0.16407,0.11333,0.068871,0.06184,-0.11697,-0.05292
" l-Isoleucine",5.3203e-05,-0.0011368,0.003962,-0.0025411,0.013651,-0.010543,-0.010989,-0.038081,0.028479,-0.0031333
" Taurine",-0.010253,-0.029799,-0.28614,0.063677,-0.1194,-0.069027,0.13302,-0.023178,0.036567,0.015376
" gamma-Tocopherol",0.00031665,0.0032441,-0.00071018,-0.0022785,-7.4052e-05,0.0012545,0.0070097,-0.0057097,-0.022421,0.0012046
" 3-(3-Hydroxyphenyl)propanoic acid",-0.026683,0.064516,0.12566,-0.02054,-0.08024,0.12351,0.00011252,0.22575,-0.022393,-0.016053
" Capric Acid",0.0032441,-0.0025737,0.0062224,-0.010355,0.028015,-0.0089082,-0.0055215,-0.020935,-0.0042209,0.010879
" Isovaleric acid",-0.10771,0.85532,-0.083813,0.21167,0.33459,-0.061353,-0.093019,0.065241,0.0011216,-0.0043316
" Palmitic Acid",0.00080382,0.00043168,-0.0060947,-0.0025573,-0.0055265,-0.00062451,-0.0026888,0.0032624,0.0033028,0.001466
" Valine",-0.0015947,-0.0095712,0.015739,0.00016718,0.015416,0.0014409,-0.011871,3.0015e-05,0.0023148,0.0015471
" 4-(Methylsulfanyl)-2-oxobutanoic acid",-0.0030818,0.0068672,0.01621,0.0051785,0.0026074,-0.011686,0.019432,-0.01852,-0.0032432,0.00073108
" L-Homoarginine",-0.00037989,0.0035962,-0.0079369,-0.00083619,-0.006529,-0.0033144,0.0062028,-0.002204,-0.0075468,0.00037781
" 3-(3-sulfooxyphenyl)propanoic Acid",-0.009759,-0.013696,0.062668,-0.040037,0.021913,-0.020671,0.21855,-0.33992,0.39869,0.019707
" Cholic Acid",-0.0010629,-0.0022855,0.005486,-0.0018206,-0.00081114,-0.0063827,0.02806,-0.017195,0.041156,-0.0020881
" Alanylphenylalanine",-0.0045687,-0.0082363,0.078623,0.14671,-0.093922,0.085252,0.055322,0.0109,-0.13777,-0.033827
" 2,4-Di-tert-butylphenol",-0.0022397,0.010361,-0.031059,0.0076346,-0.034141,-0.011666,0.02859,0.0081765,-0.0089493,0.010389
" Doconexent",-0.0023588,-0.0023622,-0.018223,-0.015025,-0.0051111,0.014793,0.021217,0.031603,-0.038158,0.0031941
" creatinine",-0.00099055,0.0059526,0.0017266,-0.0082633,0.0013849,0.0065918,0.013788,-0.021504,-0.056069,0.0070674
" Caffeine",-0.00076769,0.0083487,-0.0035786,0.0001839,-0.012071,-0.0026705,0.0089499,0.0036743,-0.0092204,-0.00091577
" Xanthine",-0.0003522,0.0046253,-0.00040157,-0.0023319,-0.0034006,-0.0017684,0.0026014,-0.00023057,-0.0049142,0.001236
" 2-Hydroxyglutaric acid",0.00037582,-0.0076058,0.037651,0.048446,-0.030403,0.011855,-0.030697,-0.025342,0.03417,-0.0085884
" Uridine",-0.0032377,0.0046432,-0.0038881,0.005703,0.044665,-0.040888,0.015807,0.075458,0.0081473,0.004975
" 12-Hydroxystearic acid",-0.002488,0.0048477,0.010434,0.012806,0.02479,-0.0096169,0.020452,0.026398,-0.046303,0.0047611
" Azelaic Acid",-0.0091266,-0.027738,-0.28226,0.081622,-0.131,-0.057399,0.093287,0.0051037,0.0081713,-0.040252
" Thymine",-0.0090958,-0.036027,0.085551,-0.11006,-0.034569,-0.47469,-0.23021,0.20644,-0.061036,-0.0053265
" Glycocholic acid",-0.0043996,-0.010458,0.027315,-0.010702,0.004445,-0.031956,0.12939,-0.064557,0.17914,-0.0036641
" Guanine",-0.0020963,-0.0045043,0.011709,-0.015085,-0.019833,-0.055661,-0.08199,-0.071491,0.034404,0.0050031
" Phenylalanine",-0.00088041,-0.00014758,-0.0020059,-0.0041963,0.016751,0.028778,-0.013503,0.002279,-0.016212,-0.0041153
" Proline",0.00051355,0.002099,0.0016827,-0.00030997,0.0041731,-0.0019772,0.0043551,0.009183,-0.00023256,-0.00020038
" beta-D-glucopyranose",-0.0013398,0.0030386,0.0050693,-0.012743,0.001594,-0.012601,0.018776,0.045811,-0.0098056,0.0050613
" Cianidanol",-1.2614e-05,0.00012022,0.0017528,0.0026463,-0.00033023,-0.0015752,0.00032763,0.0030281,-0.0021875,-0.00067199
" Citraconic acid",-0.00041397,-0.0011989,0.0013202,-0.0030784,0.0038808,-0.01248,0.016463,0.021561,-0.00030682,0.0051443
" Oleic Acid",-0.00076891,-0.00076118,0.0035487,-0.0031457,-0.0016163,-0.0044803,-0.0032054,-0.022243,0.019859,-0.0022782
" Alanine",0.60822,0.036705,-0.044973,0.0746,-0.0094211,-0.094248,-0.030893,0.22436,0.39074,-0.079868
" Octanoic Acid",-0.0042747,-0.009915,-0.03001,-0.011204,-0.052974,-0.09511,-0.15242,-0.07109,0.0076698,0.0001325
" Guanosine",-0.00060619,-0.0017531,-0.013114,0.003903,-0.0075199,-0.0042721,0.00074218,-0.0045694,0.0030926,-8.5452e-05
" 2-(1H-indol-3-yl)acetaldehyde",-0.011932,0.1216,-0.028094,0.041746,0.0092749,0.0033153,-0.00022747,0.0085577,-0.013007,0.026821
" Carnosine",0.00043479,0.00064313,-0.0058097,-0.0093289,0.020921,-0.040432,-0.027723,-0.0071807,-0.069594,7.3938e-05
" N-acetylornithine",-0.0016447,0.0046754,-0.0071972,0.01765,0.002369,0.0033945,0.0072215,-0.0035958,-0.016394,-0.0006557
" 3'-Hydroxycinnamic acid",-0.0029541,0.0050034,-0.023381,-0.010732,0.012894,0.029487,-0.0084615,0.10396,0.030101,-0.0053227
" Nicotinic acid",-0.00032961,0.001087,-0.0022671,0.00027266,-0.0095995,0.025664,-0.010653,0.020832,-0.0096594,-0.0030512
" Phthalic acid",-0.011431,-0.010826,0.020358,-0.040061,0.15094,0.048233,-0.044241,0.10197,-0.04901,-0.025657
" Gallic Acid",-0.0097903,-0.020936,-0.17833,0.10349,-0.14669,-0.0090869,0.01255,0.030582,-0.041049,0.012468
" Adipic Acid",-0.00034826,0.00037595,0.0026943,0.0028838,-0.0038384,0.0032,-0.0006899,0.0022625,-0.0017355,0.00039723
" Tyrosine",0.70624,0.13584,-0.068635,-0.13108,0.035703,-0.055888,0.18197,-0.11463,-0.28774,0.033177
" Sucrose",0.0011136,0.00023478,-0.0021798,0.00059722,0.0040765,0.0042786,0.001417,0.0049037,0.003679,0.00067677
" Citrulline",-0.02083,0.037379,-0.18818,0.01174,-0.069347,-0.067903,0.16588,0.11027,0.085849,0.027004
" 2-(1-methyl-1H-imidazol-4-yl)acetic acid",-0.0012499,0.0056027,0.0077511,0.014092,-0.010344,0.0033152,0.0086113,-0.006451,-0.0071525,0.0015198
" l-Pipecolic acid",-0.013063,-0.039205,-0.48304,0.1309,0.12215,0.029715,-0.16255,-0.08296,-0.1758,-0.054038
" Pseudouridine",-0.00098539,-0.0027919,0.0044506,-0.012395,0.0070565,0.0045413,0.017312,-0.056454,-0.021537,0.0073121
" L-Tartaric acid",0.026984,-0.0098043,0.020079,-0.058671,0.016676,-0.075692,0.079672,0.26873,0.040156,0.028778
" Lidocaine",0.0002869,-4.0429e-06,-0.01494,0.026295,0.090289,0.0208,-0.057396,0.046555,0.01498,-0.010498
" Hypotaurine",4.9183e-05,0.00018752,0.0004111,-0.0015394,0.0021202,0.0011907,-0.00085176,-0.0016346,-0.0052227,-0.00042546
" L-Saccharopine",-0.0015854,0.0016012,0.0086641,0.0076131,-0.017101,-0.0023012,0.009102,-0.024179,0.021647,-0.0019778
" Orotic acid",7.2907e-05,-0.0019481,0.0037995,-0.010976,0.024218,0.019835,-0.013934,-0.044126,0.011604,0.0035374
" Isoleucylisoleucine",-0.00035637,-0.0019426,0.0091986,0.018489,-0.010848,0.0095568,0.0049908,0.0056435,-0.0086446,-0.0039824
" Levocarnitine",0.058933,-0.0054095,-0.011838,-0.12352,-0.063389,0.30011,-0.18368,0.31022,0.17963,-0.01935
" Apigenin",-0.0034261,-0.0040533,0.0015427,-0.018045,0.012046,0.052092,0.026086,0.0051865,-0.1017,0.0051301
" Riboflavin",0.15053,-0.046035,0.13964,0.65065,-0.027375,0.062623,-0.1903,-0.11294,0.17291,0.093238
" Tryptophan",-0.0091125,0.0962,0.089556,0.17472,-0.26333,0.057752,0.17253,0.0091309,-0.13372,-0.057091
" Arachidonic Acid",-0.00013051,0.0010752,-0.00068259,6.7109e-05,-0.0010873,0.0012754,0.0015702,0.0018607,-0.0023071,0.0001569
" Ferulic acid",0.00029092,-1.1124e-05,-0.00058927,0.00061835,-0.0001854,0.00085858,-0.00076173,0.0014053,-0.00042755,0.00018584
" Pantothenic Acid",0.019472,0.0080353,0.0059352,0.010631,-0.013666,0.00097569,0.008447,0.011209,-2.6303e-05,-0.0051076
" Inosine",0.0014945,-0.0067325,-0.00089962,-0.02313,0.035044,0.03178,0.030159,-0.081547,-0.1727,0.01158
" Glyoxylic acid",-0.01341,-0.036948,-0.093014,-0.016436,-0.12211,-0.25345,-0.26691,-0.078924,-0.009317,-0.026595
" Cyclohexanecarboxylic acid",-0.0014675,0.0080424,0.011121,0.014991,-0.022179,0.0017392,0.0066448,0.00086885,-0.01819,0.0019756
" Tricarballylic acid",-0.0012848,0.0038614,0.0025101,-0.00073825,0.011998,-0.018022,0.010025,0.030767,0.00061589,0.0060929
" Naringenin",-0.0089746,-0.012999,-0.2207,0.053611,-0.1043,-0.047594,0.076484,0.0030591,0.00019701,0.059735
" Indoxyl sulfate",-0.0014436,0.00019173,0.0088322,-0.012508,-0.001574,-0.0056418,0.0087655,-0.058147,0.011199,0.00056785
" Dihydrouracil",0.00076407,-0.011051,0.02907,-0.043071,0.035283,-0.14639,0.13015,0.26953,-0.022522,0.013068
" N-Acetyl-5-hydroxytryptamine",-0.00062645,-0.0015716,0.0017359,0.0075033,-0.010071,0.005929,0.0054,-0.0038077,0.0016997,-0.0012125
" Histidine",0.00082757,-0.0061532,0.005991,-0.030347,0.0039723,0.039881,0.00092262,-0.045447,-0.0022738,0.004571
" Biotin",0.00010709,-0.00052663,-0.00082393,-0.0013347,0.0015444,0.00092041,-0.0016184,-0.0073649,0.0021796,-0.0015561
" 4-Pyridoxic acid",-0.0036608,-0.010634,-0.024513,0.012318,-0.026053,0.045088,0.043622,-0.037694,-0.019795,-0.010855
" 4-Methyl-5-thiazoleethanol",-0.005034,-0.012139,0.030971,0.10788,-0.035367,0.09008,0.011388,0.028812,-0.082052,0.012928
" Indole-3-acetic acid",-0.0001365,0.0025825,0.0008187,-0.0018749,-0.001633,0.00095288,0.0010928,-0.0040313,-0.001718,-0.00041175
" 5'-Deoxy-5'-methylthioadenosine",-0.0030189,0.00058922,0.0052747,-0.024765,0.017994,0.026418,0.015856,0.06234,-0.027966,0.014509
" 5-Methoxyindole-3-acetic acid",0.26759,-0.01971,0.068238,-0.14336,-0.021004,0.22413,-0.26014,-0.11282,-0.24461,0.040067
" 4-Hydroxybutanoic acid",-0.00064959,-0.00086362,0.0030774,-0.0052421,-0.0010907,0.0052645,0.0034604,-0.011566,0.0090261,-0.00076549
" Arginine",0.0030874,0.00035464,-0.0023026,0.0019131,-0.002613,-0.00044651,0.0009585,0.0019171,0.0017705,0.00072412
" Pentadecanoic acid",0.0027136,-0.00588,0.034444,0.068197,-0.014386,0.011851,0.022607,0.068372,-0.017216,-0.0036457
" Genistein",0.0016284,0.0028542,0.0031069,-0.0019954,0.0093671,0.021483,-0.040884,-0.031209,-0.0080233,-0.0051186
" Luteolin",-0.00079297,-0.00063934,-0.014705,0.0047096,-0.0051147,-0.0021558,0.003595,0.0012326,0.0011177,-0.00031078
" 2-Hydroxy-4-methylvaleric acid",-0.00042951,-0.0014112,0.0040409,0.00089855,0.014041,-0.008482,0.01491,0.015745,-0.013879,0.0015678
" L-Argininosuccinic acid",-0.0088974,0.0027055,-0.078609,-0.030201,-0.090059,0.044109,-0.064506,0.05866,0.01327,0.0023479
" Linoleic Acid",-0.00042333,0.00047651,-0.00027983,0.00082743,0.0030561,0.0014736,-0.0013603,-0.001426,0.010697,-0.00042006
" Pyridoxamine",-0.0021236,-0.0013273,0.017151,0.016244,0.0091017,-0.018616,-0.032571,-0.060328,0.081913,-0.0080894
" 5-Hydroxyindole-3-acetic acid",0.00039455,-0.0044283,0.012907,-0.024535,0.033232,-0.0095066,0.029031,0.06277,0.060339,-0.0057424
" N-Acetyl-L-aspartic acid",-0.00036843,-0.0009985,0.00129,-0.0049577,0.0031712,0.0097216,-0.012609,0.0023941,0.015398,-0.00164
" Uracil",0.004037,-0.0046569,0.0078696,-0.025192,0.03079,0.0054947,-0.0056775,-0.0026398,-0.0038118,-0.0024636
" L-cystathionine",0.00012233,-0.00050163,-0.00078947,-0.0011817,-0.00073032,-0.0034957,0.0039458,-0.0010945,-0.00052058,0.00075155
" Anserine",0.0044677,0.00035747,-0.0053643,0.0046863,0.022947,-0.0032209,0.0093009,0.0010686,-0.012171,0.0042643
" cis-Cinnamic acid",-0.0018658,-0.0059238,0.02325,0.011494,-0.017074,-0.038561,-0.018234,0.027599,-0.01941,0.0036369
" Pimelic acid",-0.0017813,0.0022043,0.00022002,0.025541,0.012629,0.00064173,-0.026883,0.00094101,0.0066255,-0.006598
" Aspartic Acid",0.00059191,-0.0014109,-0.0017331,9.9268e-05,-0.0034175,0.000597,0.0070429,-0.011907,0.020519,-0.0006598
" Daidzein",-0.00087048,-0.00046866,0.001062,-0.0026519,0.0078295,0.0018268,0.0091557,-0.014859,0.025004,-2.387e-06
" Piperidine",-0.0055154,-0.010783,-0.10749,0.027546,-0.07919,-0.052004,0.0051412,-0.016282,0.010935,0.0070348
" Leucyl-leucine",-0.011701,-0.0091616,-0.37032,0.085263,-0.18752,-0.080228,0.13973,0.0051742,-0.0017628,-0.013585
" Glucose 6-phosphate",-0.0008382,-0.0025896,-0.0074123,0.018704,-0.016105,0.0022343,0.0096547,0.0035097,-0.0070159,-0.00022218
" Thymidine",-0.012415,-0.026531,-0.26329,0.055678,-0.085047,-0.024823,0.010431,0.0083812,-0.010155,0.014355
" N-Acetyl-L-glutamic acid",0.039771,0.064893,-0.10641,-0.12886,0.1518,0.3573,0.12795,-0.17685,0.085112,-0.0010883
" Cytidine",-1.8999e-05,-7.1154e-05,-4.0633e-05,-0.00044751,0.00022893,0.0011586,-0.00017119,5.9928e-05,-0.0028607,-0.0003408
" Pyridoxine",0.00063089,-0.00077267,0.0058306,0.01214,-0.007043,0.0057053,0.0021709,0.0060327,-0.0087656,-0.0051239
" Gluconic Acid",-2.0394e-05,0.00045411,-0.00086945,-0.00079297,0.0021701,0.0003681,0.00030862,9.9304e-05,7.4014e-05,0.00044159
" Dopamine",-0.016046,0.026148,-0.17796,-0.074489,-0.105,0.32596,-0.12779,0.23807,-0.05887,0.037211
" (2R)-2,3-Dihydroxypropanoic acid",0.005374,-0.0026606,0.0021971,-0.015373,0.0058021,0.014147,-0.013008,-0.036154,0.0086176,-0.0058497
" Sebacic Acid",0.10397,0.10169,0.099279,0.10484,-0.27595,-0.12526,-0.14202,-0.10557,-0.11931,-0.016491
" Choline",-0.00019907,-0.0013419,0.00031712,-0.0059869,0.0070823,0.010136,0.010313,-0.025326,-0.051758,0.0025196
" 4-(Trimethylammonio)butanoate",-0.001979,-0.0083982,0.050354,0.090637,-0.056959,0.033113,0.0061062,0.011114,-0.041449,-0.025979
" (2S)-2-Hydroxybutanedioic acid",-0.016707,-0.027454,-0.17556,-0.035538,-0.067495,0.14139,-0.26348,0.16211,0.10101,0.0087651
" Methionine",-0.0015581,-0.00053855,-0.0050428,-0.0003934,-0.0070644,6.7608e-05,0.022724,-0.033608,0.040663,-0.0063031
" 2'-Deoxyadenosine",-0.0022215,-0.0022662,-0.0055461,-0.0050012,-0.0050493,0.032947,-0.0037587,0.015646,-0.019834,0.001445
" L-Pyroglutamic acid",-0.0011596,0.071784,0.024704,-0.004106,-0.099321,-0.0059927,0.11047,-0.063946,0.028848,0.0077807
" Biliverdine",-0.00042635,-0.00058575,0.003328,-0.0048422,0.0028747,-0.014948,0.0087461,0.023126,-0.0034315,0.0012104
" S-adenosyl-L-homocysteine",-0.0062675,-0.022379,0.12668,0.25137,-0.15577,0.10558,0.059828,0.041099,-0.12653,-0.056208
" 2,5-Dihydroxybenzoic acid",-0.0018014,0.0091095,0.0010491,-0.0077464,-0.0076319,-0.0035286,0.011688,-0.0111,0.0075366,0.0045679
" CID 790",-0.0010695,-0.0032596,0.0086967,-0.0036959,-0.0094158,-0.0034286,-0.011571,-0.028733,0.034929,-0.00037157
" (2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.0013468,0.0038411,0.0020533,0.011235,-0.0256,0.034713,0.0084235,0.018635,-0.025663,-0.0097195
" Tridecanoic acid",-8.636e-05,0.00036739,3.8276e-05,0.00049008,0.00095603,0.00081381,0.0014291,-0.00054087,0.0026981,-1.6947e-07
" Tyramine",0.0016294,0.0015402,0.0051148,-0.008686,-0.0055353,-0.02369,-0.014101,-0.0044569,0.0048285,0.0074662
" N-Acetyl-L-phenylalanine",-0.0064645,0.0064547,0.031396,-0.018739,-0.021036,-0.069368,-0.04196,-0.072308,-0.18224,0.0076562
" Salicylic Acid",-0.00061611,-0.0012828,0.00041095,-0.007596,0.0083755,0.00022023,0.013422,-0.010398,-0.043967,0.0031994
" 4-Aminobenzoic acid",0.0039316,-0.0031264,0.0090997,-0.016834,-0.030662,-0.022416,-9.5178e-05,0.034549,0.066249,0.012543
" Linolenic Acid",-0.00029359,0.0016419,0.0022268,-0.0032974,-0.0055588,-0.0022972,-0.0074141,-0.0016641,-0.002124,-0.00066642
" 3-Hydroxybenzoic acid",0.011953,-0.0012198,0.0033227,-0.0071879,-0.0063889,-0.018276,-0.025895,-0.024137,0.025331,0.0013763
" Kaempferol",-0.004193,0.0010741,0.022883,0.0043177,0.013131,-0.027104,-0.00083031,-0.042081,-0.0018951,0.0058626
" Dehydroepiandrosterone sulfate",-0.0001914,-0.00093028,0.0074157,0.00047784,0.0051852,-0.0064092,0.00077418,0.0017002,0.027443,0.00056574
" Kynurenic acid",-0.0041783,-0.0078292,0.0070694,-0.052988,-0.017502,0.11251,-0.053716,0.048405,0.059403,-0.0096369
" 1,7-Dimethyluric acid",-0.0044214,-0.0084269,0.027025,-0.032127,-0.019249,-0.093894,-0.051755,-0.075345,0.090489,0.029212
" (S)-3-hydroxylauric acid",0.0056414,-0.0038827,0.0015039,-0.018721,-0.018012,-0.011034,-0.089347,-0.0058446,0.0040476,0.0015015
" Glutaric acid",0.00084779,-0.0099882,-0.091387,0.024206,-0.039734,-0.012363,0.028149,-0.020977,0.034006,0.0038514
" Quinic acid",3.3388e-05,-0.0020878,0.0056056,-0.0087337,0.0030997,0.0034252,0.024496,-0.03934,0.052029,-0.0065024
" gamma-Glutamylcysteine",-0.0014204,-0.00024985,-0.0083809,-0.0040519,0.0060329,0.028114,-0.011118,0.020175,-0.001152,-0.0062681
" 2,3,4,6-Tetrahydroxy-5-oxohexanoic acid",-0.061106,0.42452,0.091652,-0.32582,-0.59373,0.018135,0.0365,-0.096015,0.068892,-0.00040733
" Niacinamide",-0.0015859,-0.0025068,-0.024232,0.0036976,-0.012176,-0.0073962,0.010192,0.014514,0.0010767,0.0015552
" Arachidic Acid",-0.0018563,0.0033353,-8.1339e-05,0.003104,0.024663,-0.00028145,0.010902,-0.011033,-0.066608,7.4689e-05
